id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,rt_text
1238479592643596288,https://twitter.com/OGCameraguyBill/status/1238479592643596288,Fri Mar 13 14:58:39 +0000 2020,2020-03-13 14:58:39+00:00,OGCameraguyBill,"This is the way the world ends
This is the way the world ends
This is the way the world ends
Not with a bang but with a cough

#coronapocalypse",original,,coronapocalypse,,,1,,,,en,"Queens, NY",,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30941871,Mon Apr 13 19:49:31 +0000 2009,False,My name is Bill. I work for Complex and Shoot for First We Feast. #GoBills                                             instagram: @ogcameraguybill,564,527,209,1,"Astoria, Queens",Bill Drexler,798,,,False,
1238478699105828864,https://twitter.com/laughingman91/status/1238478699105828864,Fri Mar 13 14:55:06 +0000 2020,2020-03-13 14:55:06+00:00,laughingman91,"RT @DeadLettersDept: And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.…",retweet,,,,,0,,,,en,,,16,1237912150275952640,DeadLettersDept,827253950642425856,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1162307850946981888,Fri Aug 16 10:19:26 +0000 2019,False,yeet,373,4,28,0,,Laughingman91,200,,,False,"And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.
#coronapocalypse https://t.co/1f8mqik6QD"
1238476564888772613,https://twitter.com/Laurie19777/status/1238476564888772613,Fri Mar 13 14:46:37 +0000 2020,2020-03-13 14:46:37+00:00,Laurie19777,"RT @DeadLettersDept: And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.…",retweet,,,,,0,,,,en,,,16,1237912150275952640,DeadLettersDept,827253950642425856,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",755063160697004032,Mon Jul 18 15:34:20 +0000 2016,False,I don't shop on Amazon.,4530,15,41,0,,Laurie 🌊,150,,,False,"And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.
#coronapocalypse https://t.co/1f8mqik6QD"
1238471545132990464,https://twitter.com/Thor_LM/status/1238471545132990464,Fri Mar 13 14:26:40 +0000 2020,2020-03-13 14:26:40+00:00,Thor_LM,"RT @DeadLettersDept: And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.…",retweet,,,,,0,,,,en,,,16,1237912150275952640,DeadLettersDept,827253950642425856,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",843876921184145408,Mon Mar 20 17:28:31 +0000 2017,False,#BernieOrAllHellBreaksLoose #M4A #AnimalRights ✍️ #HandMarkedPaperBallots,157850,2317,4911,5,,BernieForever 🐕 ☮️ 🌹,73292,,,False,"And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.
#coronapocalypse https://t.co/1f8mqik6QD"
1238462514402222080,https://twitter.com/wywomensnetwork/status/1238462514402222080,Fri Mar 13 13:50:47 +0000 2020,2020-03-13 13:50:47+00:00,wywomensnetwork,"Brings to mind The Hollow Men by T.S. Eliot:

This is the way the world ends
Not with a bang but with a whimper 

https://t.co/WSMmvyiBtM https://t.co/UG9vc4djJE",quote,,,,https://msu.edu/~jungahre/transmedia/the-hollow-men.html https://twitter.com/iamnickreynolds/status/1238336115636989954,0,,,,en,,False,0,1238336115636989954,IAmNickReynolds,3325921306,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1076170602887536640,Fri Dec 21 17:40:40 +0000 2018,False,"Inspiring action to advance the economic well-being, health, and representation of Wyoming's women and families.",6241,270,881,4,"Wyoming, USA",Wyoming Women’s WASH YOUR HANDS Action Network,2420,,http://wyomingwomensnetwork.com,False,
1238462001032159232,https://twitter.com/erongm/status/1238462001032159232,Fri Mar 13 13:48:45 +0000 2020,2020-03-13 13:48:45+00:00,erongm,"RT @L_Ritzmann: so this is it

this is how it ends

not with a bang, but with a ALERTA DE MACACO",retweet,,,,,0,,,,en,,,85,1238133450957361152,L_Ritzmann,1015336011231047680,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",24369490,Sat Mar 14 13:42:44 +0000 2009,False,Eu tô pó da cara,76940,251,1058,5,Bairro das Indústrias,Eron Guilherme,28048,,,False,"so this is it

this is how it ends

not with a bang, but with a ALERTA DE MACACO https://t.co/FIHNvtaQwf"
1238461609154150400,https://twitter.com/That_AC/status/1238461609154150400,Fri Mar 13 13:47:11 +0000 2020,2020-03-13 13:47:11+00:00,That_AC,@doctorow Something something how the world ends... not with a bang but with a choking cough...,reply,,,,,0,doctorow,1238461093997150208,2729061,en,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1543474070,Mon Jun 24 15:02:33 +0000 2013,False,"Sociopathic Immortal.
Designed to be distrusted.
Still the gay one with a trendy avatar.",1681,639,213,17,OpSec says NO.,That Anonymous Coward - Immortal Sociopath,55479,,,False,
1238461607283503104,https://twitter.com/Babatikidido/status/1238461607283503104,Fri Mar 13 13:47:11 +0000 2020,2020-03-13 13:47:11+00:00,Babatikidido,"“This is the way the world ends.

Not with a bang but with a whimper.” https://t.co/QZJCYeFyJL",quote,,,,https://twitter.com/wienermobile/status/1238232995624030215,2,,,,en,"Moore, OK",False,0,1238232995624030215,Wienermobile,15690934,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",17976599,Mon Dec 08 23:04:22 +0000 2008,False,"Oklahoman, Marathoner, Pirate, Dad, Thunder Fan, Husband of a Supermodel, Hot tubber, Amateur unicyclist, and Instagram hand model.",9882,154,496,2,Oklahoma City,OklaHomeBoy,5898,,,False,
1238461148057518081,https://twitter.com/explosive_d/status/1238461148057518081,Fri Mar 13 13:45:21 +0000 2020,2020-03-13 13:45:21+00:00,explosive_d,"@bader_diedrich @pattonoswalt Not with a bang, but with a weiner",reply,,,,,5,bader_diedrich,1238460255836581888,3165691046,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1155832783828324357,Mon Jul 29 13:29:44 +0000 2019,False,"she her, I am a loser, not a bot",14891,85,415,1,,Explosive D(iva),7270,,,False,
1238456548667658242,https://twitter.com/4n6guyphilly/status/1238456548667658242,Fri Mar 13 13:27:05 +0000 2020,2020-03-13 13:27:05+00:00,4n6guyphilly,"RT @DeadLettersDept: And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.…",retweet,,,,,0,,,,en,,,16,1237912150275952640,DeadLettersDept,827253950642425856,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",709599579637997568,Tue Mar 15 04:38:18 +0000 2016,False,Poe Wrote the Raven; Ephemera collector; Lover of Birds; Everything Ravens; A4N6guy = A forensics guy. Unions - Yes! Organized Labor #FlyEaglesFly.,124658,1220,1661,12,Formerly from Philly,"Quoth the Raven ""Nevermore""",60713,,,False,"And then there was no toilet paper. 
This is how the end comes, then — not with a bang, but with a skidmark.
...
..
.
#coronapocalypse https://t.co/1f8mqik6QD"
