id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,rt_text
1238475327078313985,https://twitter.com/amanda_poops/status/1238475327078313985,Fri Mar 13 14:41:42 +0000 2020,2020-03-13 14:41:42+00:00,amanda_poops,Tried to touch my husband’s face and he tattled on me to his mother.,original,,,,,11,,,,en,,,6,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1053500033063141377,Sat Oct 20 04:15:55 +0000 2018,False,"No colon, still rollin’. I've got guts, they just look a little different than yours. Domestically challenged. Pants are overrated.",22274,2452,1612,19,"My Bathroom, Mostly",AmandaPoops,7011,,https://Twitter.com/search/from:@amanda_poops(exclude:replies),False,
1238467443732946945,https://twitter.com/heatherjones333/status/1238467443732946945,Fri Mar 13 14:10:22 +0000 2020,2020-03-13 14:10:22+00:00,heatherjones333,"#Coronavirus

The Minute They Said Not to Touch Your Face-

MY FACE BECAME ITCHY!!",original,,Coronavirus,,,48,,,,en,,,5,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",4637042115,Mon Dec 28 23:20:49 +0000 2015,False,"👠 ♥ Retweeted 7 Times by President Trump. ♥America, the Constitution, #2A, Military, Animals 🐶- ✝️Jesus saved my soul and Trump will save America!  🚫NO DM #MAGA",95550,55392,51230,50,,Heather ❤️🌸 Jones,60221,,,False,
1238463874539683840,https://twitter.com/Tits_McDick/status/1238463874539683840,Fri Mar 13 13:56:11 +0000 2020,2020-03-13 13:56:11+00:00,Tits_McDick,"Fuck it, I’m still gonna touch my face.",original,,,,,10,,,,en,,,7,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",46299875,Thu Jun 11 03:08:43 +0000 2009,False,only the slightest whiff of mental illness,27221,1996,1967,21,,Tits McDick,26636,,https://twitter.com/search?vertical=default&q=from%3ATits_McDick%20-filter%3Areplies,False,
1238455575706513411,https://twitter.com/Van_Firth/status/1238455575706513411,Fri Mar 13 13:23:13 +0000 2020,2020-03-13 13:23:13+00:00,Van_Firth,@NatashaBertrand @anitakumar01 There is an entire government agency devoted to this that he could draw on. Instead he turns to a family member who goes to FB. I’d do a facepalm but I don’t want to touch my face.,reply,,,,,276,NatashaBertrand,1238454333370445826,372536101,en,,,27,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",561464248,Mon Apr 23 20:55:45 +0000 2012,False,"Getting you to the start box on time.

Supply Chain expert / lecturer, inventor, textbook author",24815,140,446,0,"Baarn, Nederland",Van Firth,13364,,,False,
1238453760222998530,https://twitter.com/ChurchGoddess/status/1238453760222998530,Fri Mar 13 13:16:00 +0000 2020,2020-03-13 13:16:00+00:00,ChurchGoddess,"This is your new mantra my pet:

isolate, masturbate

isolate, masturbate

Wash your hands good, don't touch your face and other peoples hands, avoid other people, buy toilet paper and food for 1 month before quarantine comes and then:

isolate, masturbate

isolate, masturbate https://t.co/M3mZGz8cYK",original,,,https://pbs.twimg.com/media/ES_fIO9XkAAM7Ld.jpg,,10,,,,en,,False,9,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1234173254807494659,Sun Mar 01 17:48:32 +0000 2020,False,Goddess collects tiny male brains and souls... Time to visit the Church my pet. :-),113,266,489,0,in your brain,😈 Church of the Goddess 😈,81,,,False,
1238448347955879937,https://twitter.com/haziqqqaaahzik/status/1238448347955879937,Fri Mar 13 12:54:30 +0000 2020,2020-03-13 12:54:30+00:00,haziqqqaaahzik,"Hmm, Just Go Near To The Women Guys. As Long After U Touch The Woman DO NOT Touch Ur Face And Wash Ur Hand ASAP. As For Wht My Bio Lecturer Said Covid-19 Is Droplet Borne. Just Take Extra Precaution If Any Droplets Is Anticipated. Somemore she wearing mask. So i see no problem.. https://t.co/omUlaLCO6O",quote,,,,https://twitter.com/MothershipSG/status/1238396516370272258,7,,,,en,"Lembu, Kelantan",False,10,1238396516370272258,MothershipSG,1619325942,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",998215071875588096,Sun May 20 14:53:13 +0000 2018,False,Qirāat Lover | Nurse? | Ibn Zubaidi | INTP-T | Ash‘arī,2873,80,119,0,,ZiqoZik,2554,,,False,
1238445424140263424,https://twitter.com/gaialogia/status/1238445424140263424,Fri Mar 13 12:42:52 +0000 2020,2020-03-13 12:42:52+00:00,gaialogia,"To my tiddies (esp those in healthcare)
- wash hands for 60 seconds
- make sure things don’t go in your eyeballs
- don’t touch your eyes or face
- disinfect your phone with alcohol pads
- if you cannot wash hands use sanitizer but make time to wash hands after
- don’t hug nobody",original,,,,,176,,,,en,,,28,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1007428328846970880,Fri Jun 15 01:03:25 +0000 2018,False,Hey I’m just doing my best. Icon: Sabina Fenn. To book a tarot reading with me click the link below.,18866,44162,270,226,Earth,Gaia 🌿,11244,,https://linktr.ee/gaialogia,False,
1238443747257585664,https://twitter.com/Bluemagicboxes/status/1238443747257585664,Fri Mar 13 12:36:13 +0000 2020,2020-03-13 12:36:13+00:00,Bluemagicboxes,this corona threat has made me realize i touch my face a lot.,original,,,,,132,,,,en,,,33,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",347789605,Wed Aug 03 10:54:22 +0000 2011,False,"If someone loves you like Snape loved Lily, get a restraining order.",64345,8174,347,55,"Karachi, Pakistan",No,90449,,,False,
1238441508312932353,https://twitter.com/ricflairdahvid/status/1238441508312932353,Fri Mar 13 12:27:19 +0000 2020,2020-03-13 12:27:19+00:00,ricflairdahvid,I feel like I’m flirting with death everytime I touch my face,original,,,,,19,,,,en,,,7,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4861934723,Fri Jan 29 23:22:09 +0000 2016,False,oh you dropping the woo??,26921,3118,753,53,LDN,.,98673,,,False,
1238436189557755906,https://twitter.com/InTheNoosphere/status/1238436189557755906,Fri Mar 13 12:06:11 +0000 2020,2020-03-13 12:06:11+00:00,InTheNoosphere,"If I die from the Coronavirus COVID-19 pandemic,... it will be because I was powerless to protect myself from being infected because of the administration's total lack of preparedness and laxity of concern for my well being and welfare.

wash your hands
don't touch your face",original,,,,,93,,,,en,,,24,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1021361523589984256,Mon Jul 23 11:48:57 +0000 2018,False,"""searching for intelligent life 
on a planet committing suicide""

Trump is a disease.

#VoteBlueNoMatterWho
retired
smell,taste,feel,look,hear
wonder and awe",25431,16648,13589,14,Canada / Mexico ~ American,THE TAO OF NOW,70990,,,False,
1238426216962478080,https://twitter.com/MissMuggleborn/status/1238426216962478080,Fri Mar 13 11:26:33 +0000 2020,2020-03-13 11:26:33+00:00,MissMuggleborn,"Had no idea just how many times a day I touch my face. And I can see I'm not the only one.

Marenge. Sab marenge.",original,,,,,89,,,,en,,,7,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",973309528946036736,Mon Mar 12 21:27:29 +0000 2018,False,Secular atheist. Hindu by accident of birth. हिंदी/मराठी/বাংলা/English. All views expressed here are personal.,16292,3710,1010,8,Upar. Aasma neeche. ,Eesha🇮🇳🏳️‍🌈,7632,,,False,
